face_type_id,gender,cluster_id,member_id,alias_id,label,group_name,member_name,image_count,confidence,x,y
F10,F,9,aespa__giselle,aespa__giselle,에스파 지젤,aespa,Giselle,8,0.5859,0.1606,-0.0070
F07,F,2,aespa__karina,aespa__karina,에스파 카리나,aespa,Karina,7,0.5784,-0.2856,-0.1737
F03,F,8,aespa__ningning,aespa__ningning,에스파 닝닝,aespa,Ningning,8,0.5786,-0.1810,-0.0560
F09,F,0,aespa__winter,aespa__winter,에스파 윈터,aespa,Winter,8,0.6580,-0.0264,-0.1901
F02,F,1,ive__gaeul,ive__gaeul,아이브 가을,IVE,Gaeul,8,0.5997,0.1980,0.0324
F03,F,8,ive__leeseo,ive__leeseo,아이브 이서,IVE,Leeseo,8,0.7052,0.2098,0.1637
F01,F,4,ive__liz,ive__liz,아이브 리즈,IVE,Liz,18,0.6385,-0.0153,0.1394
F04,F,3,ive__rei,ive__rei,아이브 레이,IVE,Rei,8,0.6388,0.0934,0.0556
F03,F,8,ive__wonyoung,ive__wonyoung,아이브 장원영,IVE,Wonyoung,11,0.6899,-0.0349,-0.1198
F03,F,8,ive__yujin,ive__yujin,아이브 안유진,IVE,Yujin,8,0.6336,0.0852,0.1353
F05,F,7,le_sserafim__hong_eunchae,le_sserafim__hong_eunchae,르세라핌 홍은채,LE SSERAFIM,Hong Eunchae,7,0.6273,-0.0414,0.1505
F05,F,7,le_sserafim__huh_yunjin,le_sserafim__huh_yunjin,르세라핌 허윤진,LE SSERAFIM,Huh Yunjin,10,0.6693,0.0181,0.2353
F09,F,0,le_sserafim__kazuha,le_sserafim__kazuha,르세라핌 카즈하,LE SSERAFIM,Kazuha,8,0.6956,0.2747,-0.1012
F09,F,0,le_sserafim__kim_chaewon,le_sserafim__kim_chaewon,르세라핌 김채원,LE SSERAFIM,Kim Chaewon,8,0.3621,0.1410,-0.1266
F03,F,8,le_sserafim__sakura,le_sserafim__sakura,르세라핌 사쿠라,LE SSERAFIM,Sakura,8,0.5833,0.0553,0.0767
F02,F,1,newjeans__danielle,newjeans__danielle,뉴진스 다니엘,NewJeans,Danielle,20,0.7368,-0.1428,0.0743
F08,F,5,newjeans__haerin,newjeans__haerin,뉴진스 해린,NewJeans,Haerin,9,0.7522,-0.3036,-0.0096
F05,F,7,newjeans__hanni,newjeans__hanni,뉴진스 하니,NewJeans,Hanni,12,0.6848,-0.2870,0.1888
F08,F,5,newjeans__hyein,newjeans__hyein,뉴진스 혜인,NewJeans,Hyein,12,0.6979,-0.1698,0.1068
