member_id,group_name,member_name,search_hint,include_terms,exclude_terms
aespa__karina,aespa,Karina,"""에스파"" 카리나",,
aespa__winter,aespa,Winter,"""에스파"" 윈터",,
aespa__giselle,aespa,Giselle,"""에스파"" 지젤",,
aespa__ningning,aespa,Ningning,"""에스파"" 닝닝",,
ive__yujin,IVE,Yujin,"""아이브"" 안유진",아이브|안유진,
ive__gaeul,IVE,Gaeul,"""아이브"" 가을",,
ive__rei,IVE,Rei,"""아이브"" 레이",,
ive__wonyoung,IVE,Wonyoung,"""아이브"" 장원영",,
ive__liz,IVE,Liz,"""아이브"" 리즈",,
ive__leeseo,IVE,Leeseo,"""아이브"" 이서",,
le_sserafim__sakura,LE SSERAFIM,Sakura,"""르세라핌"" 사쿠라",,
le_sserafim__kim_chaewon,LE SSERAFIM,Kim Chaewon,"""르세라핌"" 김채원",,
le_sserafim__huh_yunjin,LE SSERAFIM,Huh Yunjin,"""르세라핌"" 허윤진",,
le_sserafim__kazuha,LE SSERAFIM,Kazuha,"""르세라핌"" 카즈하",,
le_sserafim__hong_eunchae,LE SSERAFIM,Hong Eunchae,"""르세라핌"" 홍은채",,
newjeans__minji,NewJeans,Minji,"""뉴진스"" 민지",,
newjeans__hanni,NewJeans,Hanni,"""뉴진스"" 하니",,
newjeans__danielle,NewJeans,Danielle,"""뉴진스"" 다니엘",뉴진스|다니엘,
newjeans__haerin,NewJeans,Haerin,"""뉴진스"" 해린",,
newjeans__hyein,NewJeans,Hyein,"""뉴진스"" 혜인",,
nmixx__lily,NMIXX,Lily,"""엔믹스"" 릴리",,
nmixx__haewon,NMIXX,Haewon,"""엔믹스"" 해원",,
nmixx__sullyoon,NMIXX,Sullyoon,"""엔믹스"" 설윤",,
nmixx__bae,NMIXX,Bae,"""엔믹스"" 배",엔믹스|배진솔,
nmixx__jiwoo,NMIXX,Jiwoo,"""엔믹스"" 지우",,
nmixx__kyujin,NMIXX,Kyujin,"""엔믹스"" 규진",,
enhypen__jungwon,ENHYPEN,Jungwon,"""엔하이픈"" 정원",,
enhypen__heeseung,ENHYPEN,Heeseung,"""엔하이픈"" 희승",,
enhypen__jay,ENHYPEN,Jay,"""엔하이픈"" 제이",엔하이픈|박종성,
enhypen__jake,ENHYPEN,Jake,"""엔하이픈"" 제이크",,
enhypen__sunghoon,ENHYPEN,Sunghoon,"""엔하이픈"" 성훈",,
enhypen__sunoo,ENHYPEN,Sunoo,"""엔하이픈"" 선우",,
enhypen__ni_ki,ENHYPEN,Ni-ki,"""엔하이픈"" 니키",,
riize__shotaro,RIIZE,Shotaro,"""라이즈"" 쇼타로",,
riize__eunseok,RIIZE,Eunseok,"""라이즈"" 은석",,
riize__sungchan,RIIZE,Sungchan,"""라이즈"" 성찬",,
riize__wonbin,RIIZE,Wonbin,"""라이즈"" 원빈",라이즈|원빈,
riize__sohee,RIIZE,Sohee,"""라이즈"" 소희",,
riize__anton,RIIZE,Anton,"""라이즈"" 앤톤",라이즈|앤톤|이찬영,
boynextdoor__sungho,BOYNEXTDOOR,Sungho,"""보이넥스트도어"" 성호",,
boynextdoor__riwoo,BOYNEXTDOOR,Riwoo,"""보이넥스트도어"" 리우",,
boynextdoor__jaehyun,BOYNEXTDOOR,Jaehyun,"""보이넥스트도어"" 재현",보이넥스트도어|명재현,NCT|정재현
boynextdoor__taesan,BOYNEXTDOOR,Taesan,"""보이넥스트도어"" 태산",,
boynextdoor__leehan,BOYNEXTDOOR,Leehan,"""보이넥스트도어"" 이한",,
boynextdoor__woonhak,BOYNEXTDOOR,Woonhak,"""보이넥스트도어"" 운학",,
p1harmony__keeho,P1Harmony,Keeho,"""피원하모니"" 기호",,
p1harmony__theo,P1Harmony,Theo,"""피원하모니"" 테오",,
